Company name,Street address,City,State,Zip,County,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Web Address,Contact Email,Headquarters,Year Founded,Services Offered,Firm Characteristics,Ownership Type,Employees Local,Employees Statewide,Employees Worldwide,Universal Employees,Revenue volume 2021 Companywide,Revenue volume 2020,Universal Revenue,Leadership Executive(s)First name,Leadership Executive(s)Middle Name,Leadership Executive(s)Last name,Leadership Executive(s)Suffix,Leadership Executive(s)Title,Leadership Executive(s)Email,Leadership Executive(s)Phone,Footnotes
"Manko, Gold, Katcher & Fox LLP","Cherry Tree Corporate Center, 535 Route 38, Suite 145A",Cherry Hill,New Jersey,08002,Camden,,,,,(856) 317-1299,www.mankogold.com,mankogold@mankogold.com,"Bala Cynwyd, PA",1989,"Manko, Gold, Katcher & Fox, LLP is an environmental, energy, litigation, safety and land use law firm.",,Private,,,,51,,,,Nicole,R.,Moshang,,Partner,nmoshang@mankogold.com,,Universal Employees: Source: # Employees (2023)
"Manko, Gold, Katcher & Fox LLP","Cherry Tree Corporate Center, 535 Route 38, Suite 145A",Cherry Hill,New Jersey,08002,Camden,,,,,(856) 317-1299,www.mankogold.com,mankogold@mankogold.com,"Bala Cynwyd, PA",1989,"Manko, Gold, Katcher & Fox, LLP is an environmental, energy, litigation, safety and land use law firm.",,Private,,,,51,,,,Bruce,S.,Katcher,,Partner,bkatcher@mankogold.com,,Universal Employees: Source: # Employees (2023)
"Manko, Gold, Katcher & Fox LLP","Cherry Tree Corporate Center, 535 Route 38, Suite 145A",Cherry Hill,New Jersey,08002,Camden,,,,,(856) 317-1299,www.mankogold.com,mankogold@mankogold.com,"Bala Cynwyd, PA",1989,"Manko, Gold, Katcher & Fox, LLP is an environmental, energy, litigation, safety and land use law firm.",,Private,,,,51,,,,John,F.,Gullace,,Partner,jgullace@mankogold.com,,Universal Employees: Source: # Employees (2023)
Manufacturers & Traders Trust,4925 Main St.,Amherst,New York,14226,Erie,,,,,(800) 724-2440,www.mandtbank.com,,,1856,,,,,,,,,,,Robert,G.,Wilmers,,,,,
Manufacturers and Traders Trust Co.,One M&T Plaza,Buffalo,New York,14203,Erie,,,,,,www.mtb.com,,,1969,,,,,,,,,,,Robert,G.,Wilmers,,Chairman of the Board and CEO,,,
Marc M. Radin P.C.,"126 Valley Road, 2nd Floor",Glen Rock,New Jersey,07452,Bergen,,,,,(201) 493-1199,www.mmrcpa.com,mr@mmrcpa.com,Glen Rock,1994,"Hands-on CPA firm; helping with the day to day, year after year.",,Private,,,,5,,,,Marc,,Radin,,President,marcradin@gmail.com,(201) 493-1199,Universal Employees: Source: # Employees (2023)
March Associates Construction,"601 Hamburg Turnpike, Suite 300",Wayne,New Jersey,07470,Passaic,,Wayne,New Jersey,07470,(973) 904-0213,www.marchassociates.com,BryanM@marchassociates.com,Wayne,2003,March has managed more than $6 billion of commercial building projects in the Northeast for a diverse portfolio of clients,Family-owned,Private,,82,,88,254000000,249000000,365000000,Tersea,,Reich,,,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
March Associates Construction,"601 Hamburg Turnpike, Suite 300",Wayne,New Jersey,07470,Passaic,,Wayne,New Jersey,07470,(973) 904-0213,www.marchassociates.com,BryanM@marchassociates.com,Wayne,2003,March has managed more than $6 billion of commercial building projects in the Northeast for a diverse portfolio of clients,Family-owned,Private,,82,,88,254000000,249000000,365000000,Bryan,,Murray,,VP Business Development/Marketing,​bryanm@marchassociates.com,(973) 904-0213,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
March Associates Construction,"601 Hamburg Turnpike, Suite 300",Wayne,New Jersey,07470,Passaic,,Wayne,New Jersey,07470,(973) 904-0213,www.marchassociates.com,BryanM@marchassociates.com,Wayne,2003,March has managed more than $6 billion of commercial building projects in the Northeast for a diverse portfolio of clients,Family-owned,Private,,82,,88,254000000,249000000,365000000,Tom,,Cavallero,,VP Estimating/Purchasing,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
March Associates Construction,"601 Hamburg Turnpike, Suite 300",Wayne,New Jersey,07470,Passaic,,Wayne,New Jersey,07470,(973) 904-0213,www.marchassociates.com,BryanM@marchassociates.com,Wayne,2003,March has managed more than $6 billion of commercial building projects in the Northeast for a diverse portfolio of clients,Family-owned,Private,,82,,88,254000000,249000000,365000000,Todd,,Laubach,,V.P Construction,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
March Associates Construction,"601 Hamburg Turnpike, Suite 300",Wayne,New Jersey,07470,Passaic,,Wayne,New Jersey,07470,(973) 904-0213,www.marchassociates.com,BryanM@marchassociates.com,Wayne,2003,March has managed more than $6 billion of commercial building projects in the Northeast for a diverse portfolio of clients,Family-owned,Private,,82,,88,254000000,249000000,365000000,Louis,D.,March,Jr.,President and Owner,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Marcum LLP,"Park 80 W., Plaza One 250 Pehle Ave., Suite 601",Saddle Brook,New Jersey,07663,Bergen County,,,,,(201) 905-0400,www.marcumllp.com,info@marcumllp.com,,1951,"Marcum is a national accounting and advisory services firm dedicated to helping entrepreneurial, middle-market companies & high networth individuals.",,Private,,,,,,,,Lee,,Sheilds,,"Office Managing Partner, Northfield",lee.sheilds@marcumllp.com,,"Company name: On Feb. 1, 2022, Marcum LLP announced that RotenbergMeril Certified Public Accountants of Saddle Brook joined Marcum LLP. On Sept. 1, 2022, Marcum LLP and Friedman LLP completed a transaction that merged Friedman LLP into Marcum. Marcum LLP announced June 5, 2023, that McCarthy & Co. PC combined with Marcum LLP,  effective June 1, 2023."
Marcum LLP,"Park 80 W., Plaza One 250 Pehle Ave., Suite 601",Saddle Brook,New Jersey,07663,Bergen County,,,,,(201) 905-0400,www.marcumllp.com,info@marcumllp.com,,1951,"Marcum is a national accounting and advisory services firm dedicated to helping entrepreneurial, middle-market companies & high networth individuals.",,Private,,,,,,,,Christopher,,Smith,,"Office Managing Partner, East Hanover",christopher.smith@marcumllp.com,,"Company name: On Feb. 1, 2022, Marcum LLP announced that RotenbergMeril Certified Public Accountants of Saddle Brook joined Marcum LLP. On Sept. 1, 2022, Marcum LLP and Friedman LLP completed a transaction that merged Friedman LLP into Marcum. Marcum LLP announced June 5, 2023, that McCarthy & Co. PC combined with Marcum LLP,  effective June 1, 2023."
Marcum LLP,"Park 80 W., Plaza One 250 Pehle Ave., Suite 601",Saddle Brook,New Jersey,07663,Bergen County,,,,,(201) 905-0400,www.marcumllp.com,info@marcumllp.com,,1951,"Marcum is a national accounting and advisory services firm dedicated to helping entrepreneurial, middle-market companies & high networth individuals.",,Private,,,,,,,,Ilan,,Hirschfeld,,"Office Managing Partner, Neptune",ilan.hirschfeld@marcumllp.com,,"Company name: On Feb. 1, 2022, Marcum LLP announced that RotenbergMeril Certified Public Accountants of Saddle Brook joined Marcum LLP. On Sept. 1, 2022, Marcum LLP and Friedman LLP completed a transaction that merged Friedman LLP into Marcum. Marcum LLP announced June 5, 2023, that McCarthy & Co. PC combined with Marcum LLP,  effective June 1, 2023."
Marcum LLP,"Park 80 W., Plaza One 250 Pehle Ave., Suite 601",Saddle Brook,New Jersey,07663,Bergen County,,,,,(201) 905-0400,www.marcumllp.com,info@marcumllp.com,,1951,"Marcum is a national accounting and advisory services firm dedicated to helping entrepreneurial, middle-market companies & high networth individuals.",,Private,,,,,,,,Neal,,Rotenberg,,"Office Managing Partner, Saddle Brook",neal.rotenberg@marcumllp.com,,"Company name: On Feb. 1, 2022, Marcum LLP announced that RotenbergMeril Certified Public Accountants of Saddle Brook joined Marcum LLP. On Sept. 1, 2022, Marcum LLP and Friedman LLP completed a transaction that merged Friedman LLP into Marcum. Marcum LLP announced June 5, 2023, that McCarthy & Co. PC combined with Marcum LLP,  effective June 1, 2023."
Marcum LLP,"Park 80 W., Plaza One 250 Pehle Ave., Suite 601",Saddle Brook,New Jersey,07663,Bergen County,,,,,(201) 905-0400,www.marcumllp.com,info@marcumllp.com,,1951,"Marcum is a national accounting and advisory services firm dedicated to helping entrepreneurial, middle-market companies & high networth individuals.",,Private,,,,,,,,Neil,,Levine,,"Office Managing Partner, Marlton",neil.levine@marcumllp.com,,"Company name: On Feb. 1, 2022, Marcum LLP announced that RotenbergMeril Certified Public Accountants of Saddle Brook joined Marcum LLP. On Sept. 1, 2022, Marcum LLP and Friedman LLP completed a transaction that merged Friedman LLP into Marcum. Marcum LLP announced June 5, 2023, that McCarthy & Co. PC combined with Marcum LLP,  effective June 1, 2023."
Marshall Dennehey Warner Coleman & Goggin PC,"15000 Midlantic Drive, Suite 200",Mount Laurel,New Jersey,08054,Burlington,,,,,(856) 414-6000,www.marshalldennehey.com,,Philadelphia,1962,Marshall Dennehey is a leading civil defense litigation law firm.,,Private,,194,,1125,,,,Sharon,A.,Campbell-Suplee,,"Office Managing Attorney, Mt. Laurel, NJ Office",scsuplee@mdwcg.com,856-414-6042,Universal Employees: Source: # Employees (2023)
Marshall Dennehey Warner Coleman & Goggin PC,"15000 Midlantic Drive, Suite 200",Mount Laurel,New Jersey,08054,Burlington,,,,,(856) 414-6000,www.marshalldennehey.com,,Philadelphia,1962,Marshall Dennehey is a leading civil defense litigation law firm.,,Private,,194,,1125,,,,Justin,F.,Johnson,,"Office Managing Attorney, Roseland, NJ, Office",jfjohnson@mdwcg.com,,Universal Employees: Source: # Employees (2023)
Martino & Fisher LLC,"191 Godwin Ave., Suite 3",Wyckoff,New Jersey,07481,Bergen,,,,,(201) 847-0200,www.martinofisher.com,steve@martinofisher.com,,1998,,,Private,,,,5,,,,Steven,E.,Martino,,Managing Partner and Co-founder,,,Universal Employees: Source: # Employees (2023)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,Brian,A.,Mills,,Partner,bmills@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,David,,Fornal,,Partner,dfornal@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,Perry,S.,Warren,,Partner,pwarren@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,Paul,J.,Maselli,,Partner,pmaselli@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,James,,Kilduff,,Shareholder,jkilduff@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Maselli, Mills & Fornal PC","400 Alexander Park Drive, Suite 101",Princeton,New Jersey,08540,Mercer,"400 Alexander Park, Suite 101",Princeton,New Jersey,08540,(609) 452-8411,www.masellilaw.com,kbauer@masellilaw.com,Princeton,1998,General and business law practice,,Private,,12,,15,2000000,3000000,2500000,Shawn,D.,Edwards,,Shareholder,sedwards@maselliwarren.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Massa Multimedia Architecture PC,3297 Route 66,Neptune,New Jersey,07753-2763,Monmouth,3297 Route 66,Neptune,New Jersey,07753,(732) 918-2300,www.mma-architects.com,info@mma-architects.com,"Neptune, NJ",1996,"Architectural design firm specializing in retail, supermarket, developer-driven, healthcare, educational design, rendering, and DfMA",,Private,,57,,51,28106098,18809364,23750396,Gabriel,J.,Massa,,Principal,GMassa@mma-architects.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Massa Multimedia Architecture PC,3297 Route 66,Neptune,New Jersey,07753-2763,Monmouth,3297 Route 66,Neptune,New Jersey,07753,(732) 918-2300,www.mma-architects.com,info@mma-architects.com,"Neptune, NJ",1996,"Architectural design firm specializing in retail, supermarket, developer-driven, healthcare, educational design, rendering, and DfMA",,Private,,57,,51,28106098,18809364,23750396,Jaime,A.,Capron,,Principal,JCapron@mma-architects.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Massa Multimedia Architecture PC,3297 Route 66,Neptune,New Jersey,07753-2763,Monmouth,3297 Route 66,Neptune,New Jersey,07753,(732) 918-2300,www.mma-architects.com,info@mma-architects.com,"Neptune, NJ",1996,"Architectural design firm specializing in retail, supermarket, developer-driven, healthcare, educational design, rendering, and DfMA",,Private,,57,,51,28106098,18809364,23750396,Thomas,P.,McHugh,,Principal,McHugh@MMA-Architects.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Master Gardeners Association of Passaic County Inc.,1310 Route 23 N.,Wayne,New Jersey,07470,Passaic,1310 Route 23 N.,Wayne,New Jersey,07424,(973) 305-5740,www.mgapc.org,mgpassaic.co@gmail.com,"Wayne, NJ",1997,"Non Profit 501 (c)3 Association of Master Gardeners Providing Horticultural Services and Education and to promote
community awareness and participation
in programs related to horticulture.",,Nonprofit,,,,,,1000,,Peter,,Tomasi,,Treasurer,pete.tomasi@gmail.com,(973) 220-6949,
Master Gardeners Association of Passaic County Inc.,1310 Route 23 N.,Wayne,New Jersey,07470,Passaic,1310 Route 23 N.,Wayne,New Jersey,07424,(973) 305-5740,www.mgapc.org,mgpassaic.co@gmail.com,"Wayne, NJ",1997,"Non Profit 501 (c)3 Association of Master Gardeners Providing Horticultural Services and Education and to promote
community awareness and participation
in programs related to horticulture.",,Nonprofit,,,,,,1000,,Joseph,,D'Errico,,President,,,
Matawan Aberdeen Chamber of Commerce,201 Broad St.,Matawan,New Jersey,07747,Monmouth,P.O. Box 522,Matawan,New Jersey,07747,(732) 290-1125,www.macocnj.com,info@macocnj.com,Matawan,1968,Service,,Nonprofit,,,,2,,,,Jeffrey,,Pantelas,,President,info@macocnj.com,732-290-1125,"Universal Employees: Source: # Employees, Statewide (2023)"
Matawan Aberdeen Chamber of Commerce,201 Broad St.,Matawan,New Jersey,07747,Monmouth,P.O. Box 522,Matawan,New Jersey,07747,(732) 290-1125,www.macocnj.com,info@macocnj.com,Matawan,1968,Service,,Nonprofit,,,,2,,,,Linda,,Martin,,Chamber Director,info@macocnj.com,(732) 290-1125,"Universal Employees: Source: # Employees, Statewide (2023)"
Mathematica,"600 Alexander Park, Suite 100",Princeton,New Jersey,08540,Mercer,P.O. Box 2393,Princeton,New Jersey,08540,(609) 799-3535,www.mathematica.org,info@mathematica-mpr.com,Princeton,1986,"Survey design and data collection, program evaluation and policy research, program and data management support, and research standards and methods",Employee-owned,Private,,513,,395,352000000,325466575,386000000,Nancy,,Murray,,Director of International Research,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mathematica,"600 Alexander Park, Suite 100",Princeton,New Jersey,08540,Mercer,P.O. Box 2393,Princeton,New Jersey,08540,(609) 799-3535,www.mathematica.org,info@mathematica-mpr.com,Princeton,1986,"Survey design and data collection, program evaluation and policy research, program and data management support, and research standards and methods",Employee-owned,Private,,513,,395,352000000,325466575,386000000,Paul,T.,Decker,,President and CEO,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mathematica,"600 Alexander Park, Suite 100",Princeton,New Jersey,08540,Mercer,P.O. Box 2393,Princeton,New Jersey,08540,(609) 799-3535,www.mathematica.org,info@mathematica-mpr.com,Princeton,1986,"Survey design and data collection, program evaluation and policy research, program and data management support, and research standards and methods",Employee-owned,Private,,513,,395,352000000,325466575,386000000,Jill,,Constantine,,Director of Human Services Research,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mathematica,"600 Alexander Park, Suite 100",Princeton,New Jersey,08540,Mercer,P.O. Box 2393,Princeton,New Jersey,08540,(609) 799-3535,www.mathematica.org,info@mathematica-mpr.com,Princeton,1986,"Survey design and data collection, program evaluation and policy research, program and data management support, and research standards and methods",Employee-owned,Private,,513,,395,352000000,325466575,386000000,Christopher,,Trenholm,,Director of Health Research,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Joseph,S.,Taylor,,President and CEO,jtaylor@matrixcompanies.com,,
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Kenneth,H.,Griffin,,Principal,,,
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Alexander,B.,Taylor,,Principal,,,
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Hilary,,Budny,,Sr. VP,hbudny@matrixcompanies.com,(732) 521-2900,
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Gary,,Hans,,Senior VP,,,
Matrix Development Group,3 Centre Drive,Cranbury,New Jersey,08512,Middlesex,,,,,(732) 521-2900,www.matrixcompanies.com,hbudny@matrixcompanies.com,,1984,"Commercial, industrial, residential, golf, hospitality",,Private,,52,,,,,,Donald,M.,Epstein,,Exec. V.P. and CFO,,,
"Matrix New World Engineering, Land Survey & Landscape Architecture PC","26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,Morris,"26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,(973) 240-1800,www.mnwe.com,mreardon@mnwe.com,,1990,Engineering and environmental expertise.,Certified Woman-owned; Headquarters,Corporation,,,,212,50000000,,55000000,Jayne,,Warne,,President,jwarne@matrixneworld.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Matrix New World Engineering, Land Survey & Landscape Architecture PC","26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,Morris,"26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,(973) 240-1800,www.mnwe.com,mreardon@mnwe.com,,1990,Engineering and environmental expertise.,Certified Woman-owned; Headquarters,Corporation,,,,212,50000000,,55000000,Paul,,Calabrese,,Vice President,pcalabrese@mnwe.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Matrix New World Engineering, Land Survey & Landscape Architecture PC","26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,Morris,"26 Columbia Turnpike, 2nd Floor",Florham Park,New Jersey,07932,(973) 240-1800,www.mnwe.com,mreardon@mnwe.com,,1990,Engineering and environmental expertise.,Certified Woman-owned; Headquarters,Corporation,,,,212,50000000,,55000000,Andrew,,Raichle,,VP,araichle@matrixneworld.com,973 240 1800,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Matters of Management LLC,,Wayne,New Jersey,07470,Passaic,,,,,(201) 446-1236,www.mattersofmanagement.com,Info@mattersofmanagement.com,,2013,"A boutique growth strategy firm specializing in fractional Human Resources, COO and Marketing support. C-suite Talent Acquisition and People Advisory",Locally owned,Private,,,,,180000,,300000,Rachel,,Anevski,,CEO,Rachel@mattersofmanagement.com,2014461236,Universal Revenue: Source: Revenue volume (2022)
Mattison Crossing at Manalapan Avenue,93 Manalapan Ave.,Freehold,New Jersey,07728,Monmouth,,,,,(732) 333-3011,elegance-living.com,,,1996,,,,,,,,,,,Shain,,Cohen,,Executive director,,,
Mayo Performing Arts Center,100 South St.,Morristown,New Jersey,07960,Morris,100 South St.,Morristown,New Jersey,07960,(973) 539-0345,www.mayoarts.org,info100@mayoarts.org,"Morristown, NJ",1994,Performing Arts Center,,Nonprofit,,,,76,,,12900000,Allison,,Larena,,President & CEO,alarena@mayoarts.org,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mayo Performing Arts Center,100 South St.,Morristown,New Jersey,07960,Morris,100 South St.,Morristown,New Jersey,07960,(973) 539-0345,www.mayoarts.org,info100@mayoarts.org,"Morristown, NJ",1994,Performing Arts Center,,Nonprofit,,,,76,,,12900000,Gregory,,Supron,,"Chairman, Board of Trustees",,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mazars USA LLP,399 Thornall St.,Edison,New Jersey,08837,Middlesex,399 Thornall St.,Edison,New Jersey,08837,(732) 549-2800,www.mazars.us,info@mazarsusa.com,New York,1921,Certified public accountants,,Private,,,,128,231000000,218000000,258000000,Paula,,Ferreira,,New Jersey Office Managing Partner,paula.ferreira@mazarsusa.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mazars USA LLP,399 Thornall St.,Edison,New Jersey,08837,Middlesex,399 Thornall St.,Edison,New Jersey,08837,(732) 549-2800,www.mazars.us,info@mazarsusa.com,New York,1921,Certified public accountants,,Private,,,,128,231000000,218000000,258000000,James,,Blake,,Chief operations officer,James.Blake@MazarsUSA.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mazars USA LLP,399 Thornall St.,Edison,New Jersey,08837,Middlesex,399 Thornall St.,Edison,New Jersey,08837,(732) 549-2800,www.mazars.us,info@mazarsusa.com,New York,1921,Certified public accountants,,Private,,,,128,231000000,218000000,258000000,John,,Accardi,,Principal,john.accardi@mazarsusa.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Mazza Recycling Services Ltd.,3230 Shafto Road,Tinton Falls,New Jersey,07753,Monmouth,3230 Shafto Road,Tinton Falls,New Jersey,07753,(732) 922-9292,www.mazzarecycling.com,sales@mazzarecycling.com,Tinton Falls,2015,"Waste and recycling collection, recycling facility, disposal services, mulch and topsoil manufacturing",,Private,,200,,214,86100000,56600000,94300000,Dominick,J.,Mazza,Jr.,Vice president,sales@mazzarecycling.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Mazza Recycling Services Ltd.,3230 Shafto Road,Tinton Falls,New Jersey,07753,Monmouth,3230 Shafto Road,Tinton Falls,New Jersey,07753,(732) 922-9292,www.mazzarecycling.com,sales@mazzarecycling.com,Tinton Falls,2015,"Waste and recycling collection, recycling facility, disposal services, mulch and topsoil manufacturing",,Private,,200,,214,86100000,56600000,94300000,James,F.,Mazza,Jr.,President,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
MBI GluckShaw,212 W. State St.,Trenton,New Jersey,08608,Mercer,,,,,(609) 392-8383,www.mbigluckshaw.com,info@mbi-gs.com,,2003,,,,,,,,,,,Paul,N.,Bontempo,,"President, Director",pbontempo@mbi-gs.com,,
MBI GluckShaw,212 W. State St.,Trenton,New Jersey,08608,Mercer,,,,,(609) 392-8383,www.mbigluckshaw.com,info@mbi-gs.com,,2003,,,,,,,,,,,Clark,W.,Martin,,President Emeritus,cmartin@mbi-gs.com,,
McBride Corporate Real Estate,201 W. Passaic S.,Rochelle Park,New Jersey,07662,Bergen,,,,,(201) 848-6105,www.mcbridecorpre.com,njinfo@mcbridecorpre.com,,1959,"Office, industrial",,Private,,2,,,1600000,917265,,Robert,T.,Tillsley,,President,tillsleyr@mcbridecorpre.com,,
McCarter & English LLP,"Four Gateway Center, 100 Mulberry St.",Newark,New Jersey,07102-4056,Essex,,Newark,,,(973) 622-4444,www.mccarter.com,info@McCarter.com,,1844,Law firm,,Private,,300,,362,0,0,,Robert,,Mintz,,"Newark Office Managing Partner, Newark office",rmintz@mccarter.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
McCarter & English LLP,"Four Gateway Center, 100 Mulberry St.",Newark,New Jersey,07102-4056,Essex,,Newark,,,(973) 622-4444,www.mccarter.com,info@McCarter.com,,1844,Law firm,,Private,,300,,362,0,0,,Joseph,,Lubertazzi,,Chairman,jlubertazzi@mccarter.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
McCarter & English LLP,"Four Gateway Center, 100 Mulberry St.",Newark,New Jersey,07102-4056,Essex,,Newark,,,(973) 622-4444,www.mccarter.com,info@McCarter.com,,1844,Law firm,,Private,,300,,362,0,0,,Joseph,T.,Boccassini,,Managing Partner,jboccassini@mccarter.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
McCarter & English LLP,"Four Gateway Center, 100 Mulberry St.",Newark,New Jersey,07102-4056,Essex,,Newark,,,(973) 622-4444,www.mccarter.com,info@McCarter.com,,1844,Law firm,,Private,,300,,362,0,0,,Mary,,Gabriel,,Deputy Managing Partner,mgabriel@mccarter.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
McCarthy & Co. P.C.,"One Hovchild Blvd., 4000 Route 66, Suite 310",Tinton Falls,New Jersey,07753,Monmouth,,,,,(732) 286-3893,www.McCarthy.CPA,info@McCarthy.CPA,,1967,Certified Public Accountants and Consultants,,Private,,19,,,7200000,6700000,,Donald,J.,Kaiser,,Partner,Donald.Kaiser@McCarthy.CPA,,"Company name: Marcum LLP announced June 5, 2023, that McCarthy & Co. P.C. combined with Marcum LLP,  effective June 1, 2023."
McCarthy & Co. P.C.,"One Hovchild Blvd., 4000 Route 66, Suite 310",Tinton Falls,New Jersey,07753,Monmouth,,,,,(732) 286-3893,www.McCarthy.CPA,info@McCarthy.CPA,,1967,Certified Public Accountants and Consultants,,Private,,19,,,7200000,6700000,,Richard,P.,Higgins,,Principal,Richard.Higgins@McCarthy.CPA,,"Company name: Marcum LLP announced June 5, 2023, that McCarthy & Co. P.C. combined with Marcum LLP,  effective June 1, 2023."
